encoder,classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ordinal_mae_mean,ordinal_mae_std,recall_tight_mean,recall_regular_mean,recall_oversized_mean
clip_vit_b32,linear_svm,0.9136363636363637,0.017422230346309586,0.9135871566631986,0.017318965301792954,0.08636363636363636,0.01742223034630956,0.9295384615384616,0.8735384615384616,0.9372307692307693
openclip_vit_l14,rbf_svm,0.900580997949419,0.03511867333830367,0.8996432242337449,0.03473235690817609,0.09941900205058099,0.03511867333830368,0.9532307692307691,0.8652307692307692,0.8818461538461537
openclip_vit_l14,logistic_regression,0.8927887901572114,0.03915478532199225,0.8907774412422901,0.040172672423093095,0.10721120984278878,0.03915478532199223,0.9689230769230768,0.803076923076923,0.9055384615384616
openclip_vit_l14,linear_svm,0.8849624060150376,0.03451016062631842,0.8837618268629865,0.03507410933255832,0.11503759398496241,0.03451016062631842,0.9529230769230768,0.8036923076923077,0.8978461538461537
openclip_vit_l14,random_forest,0.8770334928229666,0.0601451084734546,0.8750639337147135,0.061502741360536003,0.1229665071770335,0.060145108473454646,0.9375384615384614,0.787076923076923,0.9058461538461537
openclip_vit_l14,xgboost,0.8769651401230348,0.044057510722585416,0.8744040246337723,0.04740064266226583,0.12566643882433354,0.04876640010889668,0.9529230769230768,0.7784615384615385,0.8975384615384616
dinov2_vit_b14,rbf_svm,0.8666438824333561,0.05895155372609252,0.8647360094055356,0.060019128080637224,0.1359876965140123,0.05840937184519103,0.952923076923077,0.764,0.8818461538461537
clip_vit_b32,random_forest,0.8663362952836637,0.04801403161767256,0.8631231328546353,0.05346448926053548,0.13629528366370472,0.049120493269602564,0.9212307692307693,0.7621538461538462,0.9138461538461538
clip_vit_b32,rbf_svm,0.863943950786056,0.05106511684319504,0.8605351621154856,0.054644775290668406,0.13605604921394393,0.051065116843195105,0.928923076923077,0.7403076923076923,0.9212307692307693
dinov2_vit_b14,linear_svm,0.8614149008885852,0.05626785996591574,0.8595611281712898,0.0569166056132204,0.1385850991114149,0.056267859965915774,0.936923076923077,0.7483076923076923,0.8972307692307693
clip_vit_b32,logistic_regression,0.8638755980861245,0.057555652186394524,0.8574452898760484,0.06602283705672075,0.14135338345864662,0.0543493159559157,0.9526153846153846,0.7083076923076923,0.9292307692307693
clip_vit_b32,xgboost,0.8454545454545455,0.035681484248461036,0.843721171365889,0.039752459432766986,0.15717703349282294,0.036466822029153946,0.8818461538461537,0.7624615384615385,0.8901538461538461
dinov2_vit_b14,logistic_regression,0.8431305536568694,0.05063797455085461,0.8410702572702465,0.051950074891473345,0.15950102529049898,0.051044841439897334,0.9452307692307691,0.7252307692307692,0.8587692307692307
dinov2_vit_b14,random_forest,0.8351332877648667,0.037200725379355794,0.8320344071690471,0.03915268062778034,0.1674982911825017,0.03586205029573526,0.9526153846153846,0.700923076923077,0.8510769230769231
dinov2_vit_b14,xgboost,0.8247436773752563,0.04325884237940439,0.8210046440834926,0.044039915488188454,0.1778879015721121,0.03914124720588606,0.936923076923077,0.6695384615384615,0.8661538461538463
openclip_vit_l14,knn_baseline,0.8014012303485988,0.06997377096962312,0.7994084291318535,0.06935977396144613,0.20123034859876965,0.0657031550623253,0.9455384615384614,0.7489230769230769,0.7092307692307693
dinov2_vit_b14,knn_baseline,0.7985304169514695,0.038245076458594096,0.7949820397412908,0.038764681875514205,0.2014695830485304,0.03824507645859414,0.936923076923077,0.6612307692307693,0.7956923076923077
clip_vit_b32,knn_baseline,0.7906698564593302,0.032481469829357165,0.7857319244507941,0.03264108663019876,0.2303485987696514,0.046718426623416215,0.8975384615384616,0.6310769230769231,0.844
