experiment,classifier,change_note,important_parameters
experiment_10,knn_baseline,변경 없음,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""cosine""}"
experiment_10,logistic_regression,변경 없음,"{""C"": 1.0, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1000, ""class_weight"": null}"
experiment_10,linear_svm,현재 최고 성능 설정 유지: C=15.0,"{""estimator__C"": 15.0, ""estimator__class_weight"": null, ""estimator__max_iter"": 5000, ""cv"": 3}"
experiment_10,rbf_svm,"변경: experiment_9의 C=50.0에서 C=30.0으로 감소, gamma는 scale로 유지","{""estimator__kernel"": ""rbf"", ""estimator__C"": 30.0, ""estimator__gamma"": ""scale"", ""estimator__class_weight"": null, ""cv"": 3}"
experiment_10,random_forest,변경 없음,"{""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""class_weight"": null}"
experiment_10,xgboost,변경 없음,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
