experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
8,clip_vit_b32,knn_baseline,1,0.8051948051948052,0.7993480154286425,0.19480519480519481,0.9615384615384616,0.6153846153846154,0.84
8,clip_vit_b32,knn_baseline,2,0.7402597402597403,0.7330478551573886,0.2727272727272727,0.8461538461538461,0.5,0.88
8,clip_vit_b32,knn_baseline,3,0.8157894736842105,0.8049999470007738,0.19736842105263158,1.0,0.56,0.8846153846153846
8,clip_vit_b32,knn_baseline,4,0.7763157894736842,0.7764814814814814,0.2894736842105263,0.84,0.76,0.7307692307692307
8,clip_vit_b32,knn_baseline,5,0.8157894736842105,0.8147823231856846,0.19736842105263158,0.84,0.72,0.8846153846153846
8,clip_vit_b32,logistic_regression,1,0.9090909090909091,0.9092888064316637,0.1038961038961039,0.9615384615384616,0.8461538461538461,0.92
8,clip_vit_b32,logistic_regression,2,0.8181818181818182,0.8118634181361332,0.18181818181818182,0.9615384615384616,0.6153846153846154,0.88
8,clip_vit_b32,logistic_regression,3,0.7894736842105263,0.7664635727249157,0.21052631578947367,0.96,0.44,0.9615384615384616
8,clip_vit_b32,logistic_regression,4,0.881578947368421,0.8797530864197531,0.13157894736842105,0.88,0.8,0.9615384615384616
8,clip_vit_b32,logistic_regression,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
8,clip_vit_b32,linear_svm,1,0.922077922077922,0.9229469565604019,0.07792207792207792,0.9230769230769231,0.9230769230769231,0.92
8,clip_vit_b32,linear_svm,2,0.8961038961038961,0.8975293821232198,0.1038961038961039,0.8846153846153846,0.8846153846153846,0.92
8,clip_vit_b32,linear_svm,3,0.8947368421052632,0.8930864197530864,0.10526315789473684,0.92,0.8,0.9615384615384616
8,clip_vit_b32,linear_svm,4,0.9342105263157895,0.9340915853520896,0.06578947368421052,0.92,0.92,0.9615384615384616
8,clip_vit_b32,linear_svm,5,0.9342105263157895,0.9328505697433839,0.06578947368421052,1.0,0.84,0.9615384615384616
8,clip_vit_b32,rbf_svm,1,0.8831168831168831,0.882471507121367,0.11688311688311688,0.9615384615384616,0.8076923076923077,0.88
8,clip_vit_b32,rbf_svm,2,0.8181818181818182,0.8151587301587302,0.18181818181818182,0.9230769230769231,0.6538461538461539,0.88
8,clip_vit_b32,rbf_svm,3,0.8026315789473685,0.7914028709333668,0.19736842105263158,0.88,0.56,0.9615384615384616
8,clip_vit_b32,rbf_svm,4,0.8947368421052632,0.893785136696188,0.10526315789473684,0.88,0.84,0.9615384615384616
8,clip_vit_b32,rbf_svm,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
8,clip_vit_b32,random_forest,1,0.935064935064935,0.9362002376708259,0.06493506493506493,0.9230769230769231,0.9615384615384616,0.92
8,clip_vit_b32,random_forest,2,0.8571428571428571,0.8570539326841847,0.14285714285714285,0.9230769230769231,0.7692307692307693,0.88
8,clip_vit_b32,random_forest,3,0.8026315789473685,0.7877890402280646,0.19736842105263158,0.92,0.52,0.9615384615384616
8,clip_vit_b32,random_forest,4,0.8552631578947368,0.8541177076891362,0.15789473684210525,0.88,0.76,0.9230769230769231
8,clip_vit_b32,random_forest,5,0.881578947368421,0.8804547460009645,0.11842105263157894,0.96,0.8,0.8846153846153846
8,clip_vit_b32,xgboost,1,0.8831168831168831,0.8847742733457019,0.11688311688311688,0.8846153846153846,0.8846153846153846,0.88
8,clip_vit_b32,xgboost,2,0.8441558441558441,0.8457977207977208,0.15584415584415584,0.8846153846153846,0.8076923076923077,0.84
8,clip_vit_b32,xgboost,3,0.7894736842105263,0.7797598627787307,0.21052631578947367,0.88,0.56,0.9230769230769231
8,clip_vit_b32,xgboost,4,0.8421052631578947,0.8414221480554396,0.17105263157894737,0.8,0.8,0.9230769230769231
8,clip_vit_b32,xgboost,5,0.868421052631579,0.8668518518518518,0.13157894736842105,0.96,0.76,0.8846153846153846
