experiment,classifier,change_note,important_parameters
experiment_3,knn_baseline,baseline 유지,"{""n_neighbors"": 5, ""weights"": ""distance"", ""metric"": ""cosine""}"
experiment_3,logistic_regression,baseline 유지,"{""C"": 1.0, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1000, ""class_weight"": null}"
experiment_3,linear_svm,C=0.1 → 1.0,"{""estimator__C"": 1.0, ""estimator__class_weight"": null, ""estimator__max_iter"": 5000, ""cv"": 3}"
experiment_3,rbf_svm,"C=1.0 → 10.0, gamma=scale 유지","{""estimator__kernel"": ""rbf"", ""estimator__C"": 10.0, ""estimator__gamma"": ""scale"", ""estimator__class_weight"": null, ""cv"": 3}"
experiment_3,random_forest,baseline으로 복원,"{""n_estimators"": 500, ""max_depth"": 8, ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""max_features"": ""sqrt"", ""class_weight"": null}"
experiment_3,xgboost,baseline으로 복원,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 5, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}"
