encoder,classifier,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ordinal_mae_mean,ordinal_mae_std,recall_tight_mean,recall_regular_mean,recall_oversized_mean
openclip_vit_l14,rbf_svm,0.900580997949419,0.03511867333830367,0.8996432242337449,0.03473235690817609,0.09941900205058099,0.03511867333830368,0.9532307692307691,0.8652307692307692,0.8818461538461537
openclip_vit_l14,logistic_regression,0.8927887901572114,0.03915478532199225,0.8907774412422901,0.040172672423093095,0.10721120984278878,0.03915478532199223,0.9689230769230768,0.803076923076923,0.9055384615384616
openclip_vit_l14,linear_svm,0.8797334244702666,0.04229839374191302,0.8772332798870816,0.04317892425371806,0.12026657552973341,0.04229839374191307,0.9689230769230768,0.7873846153846153,0.8818461538461537
openclip_vit_l14,random_forest,0.8692412850307587,0.0708441813168999,0.8667080785784573,0.07271651253508576,0.1307587149692413,0.07084418131689993,0.9295384615384614,0.779076923076923,0.8972307692307693
dinov2_vit_b14,rbf_svm,0.8666438824333561,0.05895155372609252,0.8647360094055356,0.060019128080637224,0.1359876965140123,0.05840937184519103,0.952923076923077,0.764,0.8818461538461537
openclip_vit_l14,xgboost,0.8665413533834586,0.05259161739349646,0.8643031652709139,0.05496327991713707,0.13609022556390976,0.056753531178137154,0.9529230769230768,0.7707692307692308,0.8738461538461539
clip_vit_b32,random_forest,0.8638414217361585,0.03432520556205232,0.8605980758367293,0.03994302809391588,0.13879015721120985,0.034390647348233265,0.9218461538461538,0.7470769230769231,0.9218461538461538
clip_vit_b32,rbf_svm,0.863943950786056,0.05106511684319504,0.8605351621154856,0.054644775290668406,0.13605604921394393,0.051065116843195105,0.928923076923077,0.7403076923076923,0.9212307692307693
clip_vit_b32,logistic_regression,0.8638755980861245,0.057555652186394524,0.8574452898760484,0.06602283705672075,0.14135338345864662,0.0543493159559157,0.9526153846153846,0.7083076923076923,0.9292307692307693
clip_vit_b32,linear_svm,0.8613123718386877,0.052654959032824904,0.8558840193686296,0.0590772345165104,0.1439166097060834,0.04876472348302018,0.944923076923077,0.7166153846153847,0.9215384615384614
dinov2_vit_b14,logistic_regression,0.8431305536568694,0.05063797455085461,0.8410702572702465,0.051950074891473345,0.15950102529049898,0.051044841439897334,0.9452307692307691,0.7252307692307692,0.8587692307692307
clip_vit_b32,xgboost,0.8402597402597403,0.04394259997815406,0.8381171381608304,0.04772311962960705,0.16500341763499657,0.045223589551652926,0.8978461538461537,0.7467692307692307,0.8744615384615384
dinov2_vit_b14,linear_svm,0.8326042378673957,0.042087172436953944,0.8300853216844868,0.04319903379109867,0.17002734107997267,0.043778757075694244,0.9372307692307693,0.6932307692307692,0.8664615384615384
dinov2_vit_b14,xgboost,0.8273410799726589,0.04325951739387529,0.8238161528967984,0.04316249178051567,0.1726589200273411,0.0432595173938753,0.936923076923077,0.6772307692307692,0.866153846153846
dinov2_vit_b14,random_forest,0.81161995898838,0.05122785770016611,0.8087796142282325,0.05102674533894022,0.19101161995898835,0.05044723311184664,0.9215384615384614,0.6615384615384615,0.8510769230769231
openclip_vit_l14,knn_baseline,0.8014012303485988,0.06997377096962312,0.7994084291318535,0.06935977396144613,0.20123034859876965,0.0657031550623253,0.9455384615384614,0.7489230769230769,0.7092307692307693
dinov2_vit_b14,knn_baseline,0.7985304169514695,0.038245076458594096,0.7949820397412908,0.038764681875514205,0.2014695830485304,0.03824507645859414,0.936923076923077,0.6612307692307693,0.7956923076923077
clip_vit_b32,knn_baseline,0.7906698564593302,0.032481469829357165,0.7857319244507941,0.03264108663019876,0.2303485987696514,0.046718426623416215,0.8975384615384616,0.6310769230769231,0.844
