experiment,encoder,classifier,fold,accuracy,macro_f1,ordinal_mae,recall_tight,recall_regular,recall_oversized
experiment_2,clip_vit_b32,knn_baseline,1,0.8051948051948052,0.7993480154286425,0.19480519480519481,0.9615384615384616,0.6153846153846154,0.84
experiment_2,clip_vit_b32,knn_baseline,2,0.7402597402597403,0.7330478551573886,0.2727272727272727,0.8461538461538461,0.5,0.88
experiment_2,clip_vit_b32,knn_baseline,3,0.8157894736842105,0.8049999470007738,0.19736842105263158,1.0,0.56,0.8846153846153846
experiment_2,clip_vit_b32,knn_baseline,4,0.7763157894736842,0.7764814814814814,0.2894736842105263,0.84,0.76,0.7307692307692307
experiment_2,clip_vit_b32,knn_baseline,5,0.8157894736842105,0.8147823231856846,0.19736842105263158,0.84,0.72,0.8846153846153846
experiment_2,clip_vit_b32,logistic_regression,1,0.9090909090909091,0.9092888064316637,0.1038961038961039,0.9615384615384616,0.8461538461538461,0.92
experiment_2,clip_vit_b32,logistic_regression,2,0.8181818181818182,0.8118634181361332,0.18181818181818182,0.9615384615384616,0.6153846153846154,0.88
experiment_2,clip_vit_b32,logistic_regression,3,0.7894736842105263,0.7664635727249157,0.21052631578947367,0.96,0.44,0.9615384615384616
experiment_2,clip_vit_b32,logistic_regression,4,0.881578947368421,0.8797530864197531,0.13157894736842105,0.88,0.8,0.9615384615384616
experiment_2,clip_vit_b32,logistic_regression,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
experiment_2,clip_vit_b32,linear_svm,1,0.8961038961038961,0.8954112554112554,0.11688311688311688,0.9615384615384616,0.8076923076923077,0.92
experiment_2,clip_vit_b32,linear_svm,2,0.8051948051948052,0.8002463396706201,0.19480519480519481,0.9230769230769231,0.6153846153846154,0.88
experiment_2,clip_vit_b32,linear_svm,3,0.8026315789473685,0.7832401516612043,0.19736842105263158,0.96,0.48,0.9615384615384616
experiment_2,clip_vit_b32,linear_svm,4,0.8947368421052632,0.8936759889140841,0.11842105263157894,0.88,0.84,0.9615384615384616
experiment_2,clip_vit_b32,linear_svm,5,0.9078947368421053,0.9068463611859837,0.09210526315789473,1.0,0.84,0.8846153846153846
experiment_2,clip_vit_b32,rbf_svm,1,0.8831168831168831,0.882471507121367,0.11688311688311688,0.9615384615384616,0.8076923076923077,0.88
experiment_2,clip_vit_b32,rbf_svm,2,0.8181818181818182,0.8151587301587302,0.18181818181818182,0.9230769230769231,0.6538461538461539,0.88
experiment_2,clip_vit_b32,rbf_svm,3,0.8026315789473685,0.7914028709333668,0.19736842105263158,0.88,0.56,0.9615384615384616
experiment_2,clip_vit_b32,rbf_svm,4,0.8947368421052632,0.893785136696188,0.10526315789473684,0.88,0.84,0.9615384615384616
experiment_2,clip_vit_b32,rbf_svm,5,0.9210526315789473,0.9198575656677765,0.07894736842105263,1.0,0.84,0.9230769230769231
experiment_2,clip_vit_b32,random_forest,1,0.8961038961038961,0.8964303670186022,0.1038961038961039,0.9230769230769231,0.8461538461538461,0.92
experiment_2,clip_vit_b32,random_forest,2,0.8441558441558441,0.8451282051282051,0.15584415584415584,0.8461538461538461,0.7692307692307693,0.92
experiment_2,clip_vit_b32,random_forest,3,0.8157894736842105,0.799973418394471,0.18421052631578946,0.96,0.52,0.9615384615384616
experiment_2,clip_vit_b32,random_forest,4,0.868421052631579,0.8670793036750483,0.14473684210526316,0.92,0.76,0.9230769230769231
experiment_2,clip_vit_b32,random_forest,5,0.8947368421052632,0.8943790849673202,0.10526315789473684,0.96,0.84,0.8846153846153846
experiment_2,clip_vit_b32,xgboost,1,0.8961038961038961,0.8969958353711855,0.1038961038961039,0.9230769230769231,0.8846153846153846,0.88
experiment_2,clip_vit_b32,xgboost,2,0.8051948051948052,0.8081634677379358,0.19480519480519481,0.8461538461538461,0.7692307692307693,0.8
experiment_2,clip_vit_b32,xgboost,3,0.7894736842105263,0.7760141093474426,0.21052631578947367,0.92,0.52,0.9230769230769231
experiment_2,clip_vit_b32,xgboost,4,0.8421052631578947,0.8416891284815812,0.18421052631578946,0.84,0.8,0.8846153846153846
experiment_2,clip_vit_b32,xgboost,5,0.868421052631579,0.867723149866007,0.13157894736842105,0.96,0.76,0.8846153846153846
experiment_2,openclip_vit_l14,knn_baseline,1,0.7532467532467533,0.7444976076555023,0.24675324675324675,1.0,0.6923076923076923,0.56
experiment_2,openclip_vit_l14,knn_baseline,2,0.7142857142857143,0.7187806096951525,0.2857142857142857,0.8076923076923077,0.6923076923076923,0.64
experiment_2,openclip_vit_l14,knn_baseline,3,0.8289473684210527,0.8251990792584297,0.17105263157894737,1.0,0.68,0.8076923076923077
experiment_2,openclip_vit_l14,knn_baseline,4,0.8157894736842105,0.8152978056426332,0.18421052631578946,0.96,0.88,0.6153846153846154
experiment_2,openclip_vit_l14,knn_baseline,5,0.8947368421052632,0.8932670434075494,0.11842105263157894,0.96,0.8,0.9230769230769231
experiment_2,openclip_vit_l14,logistic_regression,1,0.9090909090909091,0.9078081885300917,0.09090909090909091,1.0,0.9230769230769231,0.8
experiment_2,openclip_vit_l14,logistic_regression,2,0.8311688311688312,0.8295021712388659,0.16883116883116883,0.8846153846153846,0.6923076923076923,0.92
experiment_2,openclip_vit_l14,logistic_regression,3,0.881578947368421,0.8752381698118131,0.11842105263157894,1.0,0.68,0.9615384615384616
experiment_2,openclip_vit_l14,logistic_regression,4,0.9342105263157895,0.9344923154446964,0.06578947368421052,0.96,0.88,0.9615384615384616
experiment_2,openclip_vit_l14,logistic_regression,5,0.9078947368421053,0.9068463611859837,0.09210526315789473,1.0,0.84,0.8846153846153846
experiment_2,openclip_vit_l14,linear_svm,1,0.8701298701298701,0.8675244508577843,0.12987012987012986,1.0,0.8846153846153846,0.72
experiment_2,openclip_vit_l14,linear_svm,2,0.8311688311688312,0.8295021712388659,0.16883116883116883,0.8846153846153846,0.6923076923076923,0.92
experiment_2,openclip_vit_l14,linear_svm,3,0.881578947368421,0.8752381698118131,0.11842105263157894,1.0,0.68,0.9615384615384616
experiment_2,openclip_vit_l14,linear_svm,4,0.9473684210526315,0.9476626877165962,0.05263157894736842,0.96,0.92,0.9615384615384616
experiment_2,openclip_vit_l14,linear_svm,5,0.868421052631579,0.8662389198103484,0.13157894736842105,1.0,0.76,0.8461538461538461
experiment_2,openclip_vit_l14,rbf_svm,1,0.922077922077922,0.920062695924765,0.07792207792207792,1.0,1.0,0.76
experiment_2,openclip_vit_l14,rbf_svm,2,0.8571428571428571,0.8593197278911564,0.14285714285714285,0.8461538461538461,0.8461538461538461,0.88
experiment_2,openclip_vit_l14,rbf_svm,3,0.8947368421052632,0.8902229845626072,0.10526315789473684,1.0,0.72,0.9615384615384616
experiment_2,openclip_vit_l14,rbf_svm,4,0.9473684210526315,0.947948410133284,0.05263157894736842,0.96,0.96,0.9230769230769231
experiment_2,openclip_vit_l14,rbf_svm,5,0.881578947368421,0.8806623026569119,0.11842105263157894,0.96,0.8,0.8846153846153846
experiment_2,openclip_vit_l14,random_forest,1,0.8961038961038961,0.8946825857035946,0.1038961038961039,1.0,0.8846153846153846,0.8
experiment_2,openclip_vit_l14,random_forest,2,0.7922077922077922,0.7945679012345678,0.2077922077922078,0.8076923076923077,0.7307692307692307,0.84
experiment_2,openclip_vit_l14,random_forest,3,0.8026315789473685,0.7914028709333668,0.19736842105263158,0.88,0.56,0.9615384615384616
experiment_2,openclip_vit_l14,random_forest,4,0.9605263157894737,0.9607689229537969,0.039473684210526314,0.96,0.96,0.9615384615384616
experiment_2,openclip_vit_l14,random_forest,5,0.8947368421052632,0.8921181120669611,0.10526315789473684,1.0,0.76,0.9230769230769231
experiment_2,openclip_vit_l14,xgboost,1,0.8961038961038961,0.8946825857035946,0.1038961038961039,1.0,0.8846153846153846,0.8
experiment_2,openclip_vit_l14,xgboost,2,0.8181818181818182,0.8195631528964862,0.18181818181818182,0.8846153846153846,0.7692307692307693,0.8
experiment_2,openclip_vit_l14,xgboost,3,0.8026315789473685,0.7929560860595343,0.21052631578947367,0.92,0.56,0.9230769230769231
experiment_2,openclip_vit_l14,xgboost,4,0.9210526315789473,0.9212275819418676,0.07894736842105263,0.96,0.84,0.9615384615384616
experiment_2,openclip_vit_l14,xgboost,5,0.8947368421052632,0.8930864197530864,0.10526315789473684,1.0,0.8,0.8846153846153846
experiment_2,dinov2_vit_b14,knn_baseline,1,0.7922077922077922,0.7894500561167228,0.2077922077922078,0.9615384615384616,0.7307692307692307,0.68
experiment_2,dinov2_vit_b14,knn_baseline,2,0.7662337662337663,0.7629365079365079,0.23376623376623376,0.9230769230769231,0.6153846153846154,0.76
experiment_2,dinov2_vit_b14,knn_baseline,3,0.7631578947368421,0.7596153846153847,0.23684210526315788,0.88,0.6,0.8076923076923077
